"","state","date","newcase","aggcase","newdeath","aggdeath","avgtraffic","uninsured","station","park","grocery","workplace","residential","SAHdate","density","pop","region","SAHduration","order_placed","death_rate","infect_rate","policy"
"48","Alabama",2020-03-18,10,51,0,0,155.1728999825,205978,-0.714285714285714,45,13.4166666666667,-24.9166666666667,9.41666666666667,2020-04-04,97,4908621,"South",0,"N",0,0.00103898834316196,NA
"49","Alabama",2020-03-22,26,157,0,0,116.767236194762,283047,-21.7,-0.166666666666667,-7.71428571428571,-28.0526315789474,9.33333333333333,2020-04-04,97,4908621,"South",0,"N",0,0.0031984543113025,NA
"50","Alabama",2020-04-20,175,5078,4,164,71.2382053097015,438049,-23.8260869565217,9.09090909090909,-3.62857142857143,-32.6716417910448,12.9032258064516,2020-04-04,97,4908621,"South",17,"Y",3.2296179598267,0.103450643266204,"Loose"
"51","Alabama",2020-04-13,222,3805,11,104,71.2382053097015,438049,-29,-8,-9.08571428571429,-35.5074626865672,14.1034482758621,2020-04-04,97,4908621,"South",10,"Y",2.73324572930355,0.0775166793280638,"Medium"
"52","Alabama",2020-04-12,320,3583,0,93,71.2382053097015,438049,-50.4782608695652,-46.9130434782609,-44.0857142857143,-41.0392156862745,13.25,2020-04-04,97,4908621,"South",9,"Y",2.5955902874686,0.0729940241872412,"Loose"
"53","Alaska",2020-03-16,0,3,0,0,285.17614225,44189,-7,30,27,-13,5,2020-03-28,1,734002,"West",0,"N",0,0.000408718232375389,NA
"55","Alaska",2020-04-06,5,189,0,4,89.2563471747778,74119,-48,6,-18,-43,16.5,2020-03-28,1,734002,"West",10,"Y",2.11640211640212,0.0257492486396495,"Medium"
"56","Alaska",2020-04-18,5,312,0,7,62.9719873513846,82741,-45,52,-5.5,-29.5,11,2020-03-28,1,734002,"West",22,"Y",2.24358974358974,0.0425066961670404,"Loose"
"57","Alaska",2020-03-27,16,85,1,1,126.324850626667,71276,-51,-2,-13,-40,18.5,2020-03-28,1,734002,"West",0,"Y",1.17647058823529,0.0115803499173027,"Strict"
"58","Alaska",2020-03-22,1,22,0,0,153.3366325725,53863,-28,108,-1.5,-19.5,7,2020-03-28,1,734002,"West",0,"N",0,0.00299726703741952,NA
